DATE	Value
1.8.2009	90.78
1.9.2009	90.74
1.10.2009	90.89
1.11.2009	91.15
1.12.2009	91.1
1.1.2010	91.21
1.2.2010	91.22
1.3.2010	91.34
1.4.2010	91.67
1.5.2010	91.73
1.6.2010	91.72
1.7.2010	91.84
1.8.2010	91.74
1.9.2010	91.73
1.10.2010	91.76
1.11.2010	92.02
1.12.2010	92.25
1.1.2011	94.16
1.2.2011	94.42
1.3.2011	94.8
1.4.2011	95.25
1.5.2011	95.56
1.6.2011	95.51
1.7.2011	95.35
1.8.2011	95.47
1.9.2011	95.74
1.10.2011	95.95
1.11.2011	96.44
1.12.2011	96.48
1.1.2012	97.97
1.2.2012	98.19
1.3.2012	98.5
1.4.2012	98.74
1.5.2012	98.84
1.6.2012	99.07
1.7.2012	99.01
1.8.2012	99.06
1.9.2012	99.34
1.10.2012	99.73
1.11.2012	99.8
1.12.2012	99.73
1.1.2013	100.43
1.2.2013	100.4
1.3.2013	100.42
1.4.2013	100.46
1.5.2013	100.57
1.6.2013	100.72
1.7.2013	100.64
1.8.2013	100.46
1.9.2013	100.43
1.10.2013	100.44
1.11.2013	100.28
1.12.2013	100.12
1.1.2014	100.38
1.2.2014	100.28
1.3.2014	100.26
1.4.2014	100.26
1.5.2014	100.53
1.6.2014	100.64
1.7.2014	100.49
1.8.2014	100.28
1.9.2014	100.34
1.10.2014	100.43
1.11.2014	100.26
1.12.2014	99.99
1.1.2015	99.87
1.2.2015	99.68
1.3.2015	99.87
1.4.2015	100.13
1.5.2015	100.44
1.6.2015	100.55
1.7.2015	100.27
1.8.2015	100.06
1.9.2015	99.82
1.10.2015	99.9
1.11.2015	99.88
1.12.2015	99.53
1.1.2016	99.24
1.2.2016	99.37
1.3.2016	99.38
1.4.2016	99.74
1.5.2016	99.69
1.6.2016	99.82
1.7.2016	99.41
1.8.2016	99.27
1.9.2016	99.3
1.10.2016	99.58
1.11.2016	99.67
1.12.2016	99.75
1.1.2017	100.02
1.2.2017	100.55
1.3.2017	100.42
1.4.2017	100.56
1.5.2017	100.82
1.6.2017	100.82
1.7.2017	100.87
1.8.2017	100.88
1.9.2017	101.05
1.10.2017	101.4
1.11.2017	101.73
1.12.2017	101.71
1.1.2018	102.59
1.2.2018	102.75
1.3.2018	102.95
1.4.2018	103.56
1.5.2018	103.57
1.6.2018	103.7
1.7.2018	103.53
1.8.2018	103.77
1.9.2018	103.81
1.10.2018	103.9
1.11.2018	103.76
1.12.2018	103.61
1.1.2019	104.86
1.2.2019	105.09
1.3.2019	105.78
1.4.2019	106.01
1.5.2019	106.39
1.6.2019	106.49
1.7.2019	106.64
1.8.2019	106.87
1.9.2019	106.97
1.10.2019	106.87
1.11.2019	107.05
1.12.2019	106.89
1.1.2020	108.23
1.2.2020	108.37
1.3.2020	108.34
1.4.2020	108.26
1.5.2020	108.58
1.6.2020	108.46
1.7.2020	108.54
1.8.2020	108.41
1.9.2020	108.45
1.10.2020	108.61
1.11.2020	108.71
1.12.2020	108.65
1.1.2021	109
1.2.2021	109.31
1.3.2021	109.93
1.4.2021	110.1
1.5.2021	110.78
1.6.2021	111.19
1.7.2021	111.7
1.8.2021	111.97
1.9.2021	112.82
1.10.2021	113.4
1.11.2021	113.96
1.12.2021	114.15
1.1.2022	117.37
1.2.2022	118.36
1.3.2022	120.43
1.4.2022	122.06
1.5.2022	123.82
1.6.2022	125.21
1.7.2022	126.02
1.8.2022	126.95
1.9.2022	128.14
1.10.2022	129.81
1.11.2022	131.12
1.12.2022	131.31
1.1.2023	135.05
1.2.2023	136.59
1.3.2023	138.31
1.4.2023	139.16
1.5.2023	139.07
1.6.2023	139.39
1.7.2023	139.06
1.8.2023	139.18
1.9.2023	139.62
1.10.2023	139.89
1.11.2023	140.14
1.12.2023	139.96
1.1.2024	141.02
1.2.2024	141.82
1.3.2024	142
1.4.2024	142.53
1.5.2024	142.72
1.6.2024	142.79
1.7.2024	143.24
1.8.2024	143.65
1.9.2024	143.73
1.10.2024	144.82
